Course Type,Course Title,Course Subtitle,Course Location,Subject,Beginning,Tuition fees per semester,Language,Duration,Course Link
Master's degree •,Master of Science in Electrical and Information Engineering,Kiel University •,Kiel,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6159/
Master's degree •,Master of Science in Embedded Systems Engineering,University of Freiburg •,Freiburg im Breisgau,Electrical Engineering,"Winter semester, Summer semester",varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4360/
Master's degree •,Master of Science in Energy Science and Technology,Ulm University •,Ulm,Chemistry,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3948/
Master's degree •,Master of Science in Engineering Physics,Carl von Ossietzky University of Oldenburg •,Oldenburg,"Physics, Astronomy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3746/
Master's degree •,Master of Science in Enterprise and IT Security (ENITS),Offenburg University of Applied Sciences •,Offenburg,Computer Science,Winter semester,varied,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5576/
Master's degree •,Master of Science in Environmental Engineering,Technical University of Munich •,München,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4185/
Master's degree •,"Master of Science in Geodesy and Geoinformatics, Specialisation Hydrography",HafenCity University Hamburg •,Hamburg,Surveying,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4254/
Master's degree •,Master of Science in Global Engineering and Management,Technische Hochschule Ingolstadt •,Ingolstadt,Engineering in general,Winter semester,"EUR 2,475",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8589/
Master's degree •,Master of Science in Global Logistics and Supply Chain Management,Kühne Logistics University •,Hamburg,Business and Economics,Winter semester,"EUR 7,390",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4246/
Master's degree •,Master of Science in Green Electronics,Technical University of Munich •,Singapore,Electrical Engineering,Winter semester,,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3927/
Master's degree •,Master of Science in Integrated Circuit Design,Technical University of Munich •,Singapore,Electrical Engineering,Winter semester,,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3926/
Master's degree •,Master of Science in International Automotive Engineering,FH Aachen University of Applied Sciences •,Aachen,"Transport Engineering, Nautical Science","Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3823/
Master's degree •,Master of Science in Manufacturing Technology (MMT),TU Dortmund University •,Dortmund,Mechanical Engineering / Process Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4300/
Master's degree •,Master of Science in Materials Science,Paderborn University •,Paderborn,"Mathematics, Natural Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4526/
Master's degree •,Master of Science in Materials Science,Technical University of Darmstadt •,Darmstadt,"Physics, Astronomy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4808/
Master's degree •,Master of Science in Materials Science and Engineering,Kiel University •,Kiel,"Mathematics, Natural Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6086/
Master's degree •,Master of Science in Materials Science and Engineering (MSC-MS&E),Technical University of Munich •,München,Engineering in general,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9047/
Master's degree •,Master of Science in Mechatronics,FH Aachen University of Applied Sciences •,Aachen,Mechanical Engineering / Process Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3697/
Master's degree •,Master of Science in Medical Photonics,Friedrich Schiller University Jena •,Jena,Medicine in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4708/
Master's degree •,Master of Science in Micro- and Nanotechnologies,Technische Universität Ilmenau •,Ilmenau,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4823/
Master's degree •,Master of Science in Microsystems Engineering,University of Freiburg •,Freiburg im Breisgau,Electrical Engineering,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3914/
