Course Type,Course Title,Course Subtitle,Course Location,Subject,Beginning,Tuition fees per semester,Language,Duration,Course Link
Master's degree •,Advanced Architecture — From Urban Design to Building Construction,Frankfurt University of Applied Sciences •,Frankfurt am Main,Architecture,Summer semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7065/
Master's degree •,Advanced Computational Methods in Civil Engineering,RWTH Aachen University •,Aachen,Civil Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6318/
Master's degree •,Advanced Green Engineering and Sustainable Management,Westsächsische Hochschule Zwickau - University of Applied Sciences Zwickau •,Zwickau,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8903/
Master's degree •,Advanced Manufacturing,Chemnitz University of Technology •,Chemnitz,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7612/
Master's degree •,Advanced Materials Analysis,TU Bergakademie Freiberg •,Freiberg,"Mining, Metallurgy",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5403/
Master's degree •,Advanced Signal Processing and Communications Engineering MSc,FAU Erlangen-Nürnberg •,Erlangen,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4661/
Master's degree •,AI Engineering of Autonomous Systems,Technische Hochschule Ingolstadt •,Ingolstadt,Electrical Engineering,"Winter semester, Summer semester",EUR 500,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8922/
Master's degree •,"Air Quality Control, Solid Waste and Waste Water Process Engineering (WASTE)",University of Stuttgart •,Stuttgart,Mechanical Engineering / Process Engineering,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3676/
Master's degree •,Air Transport and Logistics,Dresden University of Technology •,Dresden,"Transport Engineering, Nautical Science",Winter semester,none,English,"4 semesters, 8 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8911/
Master's degree •,"Analytical Instruments, Measurement and Sensor Technology (AIMS)",Coburg University of Applied Sciences and Arts •,Coburg,Engineering in general,Winter semester,"EUR 3,900",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3949/
Master's degree •,"Applied AI for Digital Production Management, MEng",Deggendorf Institute of Technology •,Cham,Industrial Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9024/
Master's degree •,Applied Biotechnology,Ansbach University of Applied Sciences •,Ansbach,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7251/
Master's degree •,Applied Geosciences – Applied Mineralogy and Crystallography (AMC),RWTH Aachen University •,Aachen,Earth Sciences (excluding Geography),"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6917/
Master's degree •,Applied IT Security,Ruhr-Universität Bochum •,Bochum,Computer Science,"Winter semester, Summer semester","EUR 2,900",English,6 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7795/
Master's degree •,Applied Research in Computer Science (MSc),Hof University of Applied Sciences •,Hof,Computer Science,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6236/
Master's degree •,Architecture – Design for the Built Environment (MA),SRH Universities •,Heidelberg,Architecture,Summer semester,"EUR 5,100",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7730/
Master's degree •,Automation & Control (A&C),RPTU University of Kaiserslautern-Landau •,Kaiserslautern,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4818/
Master's degree •,Automation & IT (Master of Engineering),Technische Hochschule Köln (University of Applied Sciences) •,Köln,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3961/
Master's degree •,Automation and Robotics,TU Dortmund University •,Dortmund,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8996/
Master's degree •,Automotive Service Technology and Processes (ASTP),Ostfalia University of Applied Sciences - Hochschule Braunschweig/Wolfenbüttel •,Wolfsburg,Mechanical Engineering / Process Engineering,Winter semester,,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9187/
Master's degree •,Automotive Systems,Esslingen University of Applied Sciences •,Esslingen am Neckar,Engineering in general,Winter semester,"EUR 1,500",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5423/
Master's degree •,Autonomous Driving,Coburg University of Applied Sciences and Arts •,Kronach,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9016/
Master's degree •,Autonomous Systems (MSc),Hochschule Bonn-Rhein-Sieg •,Sankt Augustin,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3799/
Master's degree •,Battery Materials and Technology (Master of Science),University of Bayreuth •,Bayreuth,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8290/
Master's degree •,Biofabrication,University of Bayreuth •,Bayreuth,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4597/
Master's degree •,Biomechanical Engineering,Otto von Guericke University Magdeburg •,Magdeburg,Mechanical Engineering / Process Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8314/
Master's degree •,Biomedical Engineering,RWTH Aachen University •,Aachen,"Mathematics, Natural Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8549/
Master's degree •,Biomedical Engineering (MSc),Hamburg University of Applied Sciences •,Hamburg,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4025/
Master's degree •,Biomedical Engineering and Medical Physics,Technical University of Munich •,Garching b. München,"Physics, Astronomy","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8332/
Master's degree •,"Biomedical Engineering, Master of Science",Technische Hochschule Lübeck •,Lübeck,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4162/
Master's degree •,Biomedical Systems Engineering – Master's Study Programme,RWTH Aachen University •,Aachen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5228/
Master's degree •,Bionics MSc,Rhine-Waal University of Applied Sciences •,Kleve,Biology,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4224/
Master's degree •,Biotechnology,University of Hohenheim •,Stuttgart,"Mathematics, Natural Sciences in general",Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4454/
Master's degree •,Building Sustainability in an Urban Future (MBA),Technische Universität Berlin •,Berlin,Business and Economics,Winter semester,"EUR 6,600",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4665/
Master's degree •,Business Intelligence and Data Analytics,University of Applied Sciences Emden/Leer •,Emden,Computer Science,"Winter semester, Summer semester","EUR 5,980",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7054/
Master's degree •,Chemical and Bioprocess Engineering,Hamburg University of Technology •,Hamburg,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4108/
Master's degree •,Chemical and Energy Engineering,Otto von Guericke University Magdeburg •,Magdeburg,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3764/
Master's degree •,Chemical Engineering,TU Bergakademie Freiberg •,Freiberg,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9174/
Master's degree •,Chemical Engineering – Specialisation: Process Systems Engineering,TU Dortmund University •,Dortmund,Mechanical Engineering / Process Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6565/
Master's degree •,Clean Energy Processes,FAU Erlangen-Nürnberg •,Erlangen,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7630/
Master's degree •,"Communication & Information Technology, MSc (CIT)",University of Bremen •,Bremen,Electrical Engineering,Summer semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3713/
Master's degree •,Communication Systems and Networks (Master of Science),Technische Hochschule Köln (University of Applied Sciences) •,Köln,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4354/
Master's degree •,Communications and Multimedia Engineering (CME),FAU Erlangen-Nürnberg •,Erlangen,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4261/
Master's degree •,Communications Engineering – Master's Study Programme,RWTH Aachen University •,Aachen,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3698/
Master's degree •,"Computational Engineering (CE), MSc",FAU Erlangen-Nürnberg •,Erlangen,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3727/
Master's degree •,Computational Engineering (CompEng),Ruhr-Universität Bochum •,Bochum,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3847/
Master's degree •,Computational Materials Science (CMS),TU Bergakademie Freiberg •,Freiberg,Mechanical Engineering / Process Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4288/
Master's degree •,Computational Mechanics,Technical University of Munich •,München,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3595/
Master's degree •,Computational Mechanics of Materials and Structures (COMMAS),University of Stuttgart •,Stuttgart,Civil Engineering,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3785/
Master's degree •,Computational Methods in Engineering (CoME),Otto von Guericke University Magdeburg •,Magdeburg,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9061/
Master's degree •,Computational Modelling and Simulation,Dresden University of Technology •,Dresden,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5202/
Master's degree •,Computational Science and Engineering (CSE),Technical University of Munich •,Garching b. München,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3591/
Master's degree •,Computational Science and Engineering (CSE),University of Rostock •,Rostock,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4593/
Master's degree •,Computational Sciences in Engineering (CSE),Technische Universität Braunschweig •,Braunschweig,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3685/
Master's degree •,Computer Engineering for IoT Systems,Nordhausen University of Applied Sciences •,Nordhausen,Computer Science,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9012/
Master's degree •,Computer Engineering – Master's Study Programme,RWTH Aachen University •,Aachen,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5226/
Master's degree •,Computer Simulation in Science (MSc),University of Wuppertal •,Wuppertal,"Mathematics, Natural Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3690/
Master's degree •,Computer-Aided Conception and Production in Mechanical Engineering (CAME),RWTH Aachen University •,Aachen,Mechanical Engineering / Process Engineering,Winter semester,"EUR 6,000",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4157/
Master's degree •,"Control, Computer and Communications Engineering (CCCE)",Technische Hochschule Mittelhessen University of Applied Sciences •,Friedberg (Hessen),Electrical Engineering,Winter semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3815/
Master's degree •,"Control, Microsystems, Microelectronics (CMM)",University of Bremen •,Bremen,Electrical Engineering,Summer semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3714/
Master's degree •,COOP Design Research MSc Programme,Anhalt University of Applied Sciences •,Dessau-Roßlau,Architecture,Winter semester,"EUR 1,250",English,2 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4474/
Master's degree •,Cyber Security,Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4785/
Master's degree •,Data Science,University of Potsdam •,Potsdam,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5253/
Master's degree •,Design and Development in Automotive and Mechanical Engineering,Esslingen University of Applied Sciences •,Esslingen am Neckar,Mechanical Engineering / Process Engineering,Winter semester,"EUR 1,500",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5440/
Master's degree •,Dessau International Architecture Graduate School (DIA),Anhalt University of Applied Sciences •,Dessau-Roßlau,Architecture,Winter semester,EUR 850,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4049/
Master's degree •,Digital Engineering,Bauhaus-Universität Weimar •,Weimar,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8265/
Master's degree •,Digital Engineering (DigiEng),Otto von Guericke University Magdeburg •,Magdeburg,Computer Science,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4427/
Master's degree •,Digital Logistics Management (Joint Master's),Technical University of Applied Sciences Wildau •,Wildau,"Transport Engineering, Nautical Science",Winter semester,,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7659/
Master's degree •,Digitalised Energy Systems,Carl von Ossietzky University of Oldenburg •,Oldenburg,Computer Science,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8944/
Master's degree •,Double Degree Master's Programme in Energy Technology,Leibniz University Hannover •,Hannover,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7865/
Master's degree •,Electric Vehicle Propulsion and Control (E-PiCo),Kiel University •,Kiel,Electrical Engineering,Winter semester,,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7067/
Master's degree •,Electrical and Computer Engineering (M Eng),Anhalt University of Applied Sciences •,Köthen / Anhalt,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8357/
Master's degree •,Electrical and Microsystems Engineering,OTH Regensburg •,Regensburg,Engineering in general,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4587/
Master's degree •,Electrical Communication Engineering (MSc),University of Kassel •,Kassel,Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3759/
Master's degree •,Electrical Engineering,Kempten University of Applied Sciences •,Kempten (Allgäu),Electrical Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4140/
Master's degree •,Electrical Engineering,University of Stuttgart •,Stuttgart,Electrical Engineering,"Winter semester, Summer semester",varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6926/
Master's degree •,Electrical Engineering (EE),University of Rostock •,Rostock,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4594/
Master's degree •,Electrical Engineering (Electronics Design or Communication Engineering),University of Siegen •,Siegen,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7927/
Master's degree •,Electrical Engineering and Embedded Systems,University of Applied Sciences Ravensburg-Weingarten •,Weingarten,Electrical Engineering,Winter semester,"EUR 1,500",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4201/
Master's degree •,Electrical Engineering and Information Technology,Otto von Guericke University Magdeburg •,Magdeburg,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6091/
Master's degree •,Electrical Engineering and Information Technology — International Master of Science,Darmstadt University of Applied Sciences •,Darmstadt,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3980/
Master's degree •,Electrical Power Engineering – Master's Study Programme,RWTH Aachen University •,Aachen,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3699/
Master's degree •,Elite Master of Science in Neuroengineering (MSNE),Technical University of Munich •,München,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4670/
Master's degree •,Embedded Computing Systems (ESY),RPTU University of Kaiserslautern-Landau •,Kaiserslautern,Electrical Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3590/
Master's degree •,Embedded Systems,Chemnitz University of Technology •,Chemnitz,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4493/
Master's degree •,Embedded Systems Design,Bremerhaven University of Applied Sciences •,Bremerhaven,Electrical Engineering,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4399/
Master's degree •,EMerald Master's Course in Resources Engineering,TU Bergakademie Freiberg •,Freiberg,Engineering in general,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5349/
Master's degree •,EMMaH – European Master of Medical Technology and Healthcare Business (MSc),Hamburg University of Applied Sciences •,Hamburg,Medicine in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5433/
Master's degree •,Energy and Environmental Management in Developing Countries (MEng),Europa-Universität Flensburg •,Flensburg,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6085/
Master's degree •,"Energy Engineering & Management (MSc, Executive) at HECTOR School",Karlsruhe Institute of Technology •,Karlsruhe,Engineering in general,Winter semester,"EUR 7,500",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4551/
Master's degree •,Energy Management (MBA),Technische Universität Berlin •,Berlin,Business and Economics,Winter semester,"EUR 6,600",English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4545/
Master's degree •,"Engineering and International Business – Renewable Energy, Water and Waste Management (MEng)",SRH Universities •,Berlin,Engineering in general,"Winter semester, Summer semester","EUR 6,800",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4832/
Master's degree •,Engineering and Management,Technische Hochschule Ingolstadt •,Ingolstadt,Engineering in general,Winter semester,EUR 500,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7168/
Master's degree •,"Engineering and Sustainable Technology Management – Industry 4.0: Automation, Robotics & 3D Manufacturing (MEng)",SRH Universities •,Berlin,Engineering in general,"Winter semester, Summer semester","EUR 6,800",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6362/
Master's degree •,Engineering and Sustainable Technology Management – Mobility and Automotive Industry (MEng),SRH Universities •,Berlin,Engineering in general,"Winter semester, Summer semester","EUR 6,800",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6361/
Master's degree •,Engineering and Sustainable Technology Management — Smart Building Technologies (MEng),SRH Universities •,Berlin,Engineering in general,"Winter semester, Summer semester","EUR 6,800",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6364/
Master's degree •,Engineering Geohazards (MSc),RWTH Aachen University •,Aachen,Earth Sciences (excluding Geography),Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6919/
Master's degree •,Engineering of Hydro-Environmental Extremes (HDE),University of Siegen •,Siegen,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9179/
Master's degree •,Engineering Sciences (Mechanical & Plastics Engineering / Mechatronics / Electrical Engineering & Information Technology),Rosenheim Technical University of Applied Sciences •,Rosenheim,Engineering in general,"Winter semester, Summer semester",none,English,"3 semesters, 6 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4636/
Master's degree •,Environmental and Recycling Technology,Nordhausen University of Applied Sciences •,Nordhausen,Engineering in general,"Winter semester, Summer semester",none,English,"3 semesters, 4 semesters",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9013/
Master's degree •,Environmental and Resource Management (MSc),Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,"Agriculture, Forestry and Nutritional Sciences in general",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3681/
Master's degree •,Environmental Engineering,Hamburg University of Technology •,Hamburg,Civil Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3809/
Master's degree •,Environmental Engineering – Specialisation Resources and Environment (Double Degree Option),Leibniz University Hannover •,Hannover,Civil Engineering,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8288/
Master's degree •,European Master's in Embedded Computing Systems (EMECS),RPTU University of Kaiserslautern-Landau •,Kaiserslautern,Electrical Engineering,Winter semester,,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4131/
Master's degree •,European Master's in Renewable Energy (EMRE),Carl von Ossietzky University of Oldenburg •,Oldenburg,"Mathematics, Natural Sciences in general",Winter semester,,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8328/
Master's degree •,European Mining Course (EMC),RWTH Aachen University •,Aachen,"Mining, Metallurgy",Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8481/
Master's degree •,European Urban Studies (EUS),Bauhaus-Universität Weimar •,Weimar,Town and Country Planning,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3679/
Master's degree •,FAME-AIS Functional Advanced Materials Engineering with Artificial Intelligence for Sustainability,Technical University of Darmstadt •,Darmstadt,Engineering in general,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5413/
Master's degree •,Food Science and Technology,University of Hohenheim •,Stuttgart,Engineering in general,Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4456/
Master's degree •,Functional Materials MSc,Philipps-Universität Marburg •,Marburg,"Mathematics, Natural Sciences in general","Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4650/
Master's degree •,Geodesy and Geoinformatics – Specialisation in Geomatics,Leibniz University Hannover •,Hannover,Surveying,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4562/
Master's degree •,Geodetic Engineering,University of Bonn •,Bonn,Surveying,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7030/
Master's degree •,Geomatics,Neubrandenburg University of Applied Sciences •,Neubrandenburg,Surveying,Summer semester,none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4750/
Master's degree •,Geomatics Engineering - GEOENGINE,University of Stuttgart •,Stuttgart,Earth Sciences (excluding Geography),Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3776/
Master's degree •,Geomatics for Mineral Resource Management (MGMRM),TU Bergakademie Freiberg •,Freiberg,Surveying,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6283/
Master's degree •,Global Foresight and Technology Management,Technische Hochschule Ingolstadt •,Ingolstadt,Engineering in general,"Winter semester, Summer semester",EUR 500,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7635/
Master's degree •,Graduate School of Computational Neuroscience,University of Tübingen •,Tübingen,"Mathematics, Natural Sciences in general",Winter semester,varied,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4195/
Master's degree •,Heritage Conservation and Site Management,Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,Architecture,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4450/
Master's degree •,Hybrid Electric Propulsion Technology,Brandenburg University of Technology Cottbus-Senftenberg •,Cottbus,Engineering in general,"Winter semester, Summer semester",none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9255/
Master's degree •,Hydro Science and Engineering (HSE),Dresden University of Technology •,Dresden,Engineering in general,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3816/
Master's degree •,Hydrogen Technology,Rosenheim Technical University of Applied Sciences •,Burghausen,Mechanical Engineering / Process Engineering,"Winter semester, Summer semester",none,English,3 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8282/
Master's degree •,Industrial Engineering and International Management (MSc),Hochschule Fresenius - University of Applied Sciences •,Köln,Business and Economics,"Winter semester, Summer semester","EUR 5,280",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7127/
Master's degree •,Industrial Engineering and International Management (MSc),Hochschule Fresenius - University of Applied Sciences •,Berlin,Business and Economics,"Winter semester, Summer semester","EUR 5,280",English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7785/
Master's degree •,Information and Communication Engineering,Technical University of Darmstadt •,Darmstadt,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3717/
Master's degree •,Information and Communication Systems,Hamburg University of Technology •,Hamburg,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3747/
Master's degree •,Information and Communication Systems,Chemnitz University of Technology •,Chemnitz,Electrical Engineering,Winter semester,none,English,4 semesters,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4269/
